CODE_CBNA,GENUS,SPECIES_NAME,PFG,group,TO_REMOVE,sp.mean.dist,allSp.mean,allSp.min,allSp.max
786,Achillea,Achillea millefolium L.,CH1,Chamaephyte_H,0,0.145761660484317,0.109248428709772,0.0561797072902753,0.162317150129269
5090,Dianthus,Dianthus carthusianorum L.,CH1,Chamaephyte_H,0,0.0866493810339734,0.109248428709772,0.0561797072902753,0.162317150129269
8697,Origanum,Origanum vulgare L. subsp. vulgare,CH1,Chamaephyte_H,0,0.0931993588840334,0.109248428709772,0.0561797072902753,0.162317150129269
9982,Polygala,Polygala vulgaris L.,CH1,Chamaephyte_H,0,0.0830592520163968,0.109248428709772,0.0561797072902753,0.162317150129269
11256,Potentilla,Potentilla neumanniana Reichenb.,CH1,Chamaephyte_H,0,0.124882924298179,0.109248428709772,0.0561797072902753,0.162317150129269
6104,Sedum,Sedum album L.,CH1,Chamaephyte_H,0,0.155407100889957,0.109248428709772,0.0561797072902753,0.162317150129269
12845,Veronica,Veronica chamaedrys L.,CH1,Chamaephyte_H,0,0.0757793233615472,0.109248428709772,0.0561797072902753,0.162317150129269
4692,Campanula,Campanula rotundifolia L.,CH2,Chamaephyte_H,0,0.0820532753539758,0.0931829552323183,0.0770230970435143,0.109342813421122
16860,Sesleria,"Sesleria caerulea (L.) Ard., non sensu 4",CH2,Chamaephyte_H,0,0.10079487890716,0.0931829552323183,0.0770230970435143,0.109342813421122
8849,Stachys,Stachys recta L.,CH2,Chamaephyte_H,0,0.0967007114358188,0.0931829552323183,0.0770230970435143,0.109342813421122
7033,Hippocrepis,Hippocrepis comosa L.,CH3,Chamaephyte_H,0,0.0816326717767052,0.0816326717767052,0.0816326717767052,0.0816326717767052
8563,Lamium,Lamium galeobdolon (L.) L. subsp. montanum (Pers.) Hayek,CH3,Chamaephyte_H,0,0.0816326717767052,0.0816326717767052,0.0816326717767052,0.0816326717767052
9402,Oxalis,Oxalis acetosella L.,CH4,Chamaephyte_H,0,0.0496330369482624,0.0496330369482624,0.0496330369482624,0.0496330369482624
7696,Trifolium,Trifolium repens L.,CH4,Chamaephyte_H,0,0.0496330369482624,0.0496330369482624,0.0496330369482624,0.0496330369482624
10512,Clematis,Clematis vitalba L.,CS1,Chamaephyte_S,0,0.0584435045379196,0.0584435045379196,0.0584435045379196,0.0584435045379196
721,Hedera,Hedera helix L.,CS1,Chamaephyte_S,0,0.0584435045379196,0.0584435045379196,0.0584435045379196,0.0584435045379196
11102,Crataegus,Crataegus monogyna Jacq.,CS2,Chamaephyte_S,0,0.0848992075683788,0.069960669570476,0.0478296869482092,0.0920916521927428
6989,Genista,Genista tinctoria L.,CS2,Chamaephyte_S,0,0.0844215890739815,0.069960669570476,0.0478296869482092,0.0920916521927428
7035,Hippocrepis,Hippocrepis emerus (L.) P. Lassen,CS2,Chamaephyte_S,0,0.0755374767351463,0.069960669570476,0.0478296869482092,0.0920916521927428
11491,Rubus,Rubus caesius L.,CS2,Chamaephyte_S,0,0.0692943772664596,0.069960669570476,0.0478296869482092,0.0920916521927428
11573,Rubus,Rubus idaeus L.,CS2,Chamaephyte_S,0,0.0482391877856709,0.069960669570476,0.0478296869482092,0.0920916521927428
8863,Teucrium,Teucrium chamaedrys L.,CS2,Chamaephyte_S,0,0.0699005556568209,0.069960669570476,0.0478296869482092,0.0920916521927428
6490,Vaccinium,Vaccinium myrtillus L.,CS2,Chamaephyte_S,0,0.0574322929068742,0.069960669570476,0.0478296869482092,0.0920916521927428
